Disease,Symptoms,Home Remedy,Preparation,Source
Common Cold,"Runny nose, sneezing, sore throat, mild fever",Ginger tea with honey,"Boil fresh ginger slices in water for 10 minutes, strain, and add honey before drinking.",Traditional Ayurveda / Grandmother’s remedy
Cough,"Dry or wet cough, throat irritation",Turmeric milk,Warm a cup of milk and add 1 tsp turmeric powder. Drink before bed.,Ayurvedic texts / Home remedy tradition
Indigestion,"Bloating, stomach pain, gas",Carom seeds (Ajwain) with warm water,Soak 1 tsp carom seeds in warm water for 10 minutes and drink.,Indian household remedy
Acidity,"Burning sensation in chest, sour taste",Cold milk,Drink a glass of plain cold milk without sugar.,Common natural remedy
Headache,"Pain in head, heaviness, sensitivity to light",Peppermint oil massage,Apply a few drops of peppermint oil on temples and massage gently.,Aromatherapy / Natural remedy
Constipation,"Difficulty in passing stools, bloating",Isabgol (Psyllium husk) with warm water,Mix 1 tsp isabgol in a glass of warm water and drink before bed.,Ayurveda / Home remedy practice
Sore Throat,"Painful swallowing, throat irritation",Salt water gargle,Mix 1 tsp salt in warm water and gargle 2–3 times daily.,Traditional remedy
Acne,"Pimples, oily skin, redness",Aloe vera gel,Apply fresh aloe vera gel directly on affected area twice daily.,Skin care natural remedy
Toothache,"Pain in tooth, swelling, sensitivity",Clove oil,Dip a cotton ball in clove oil and apply on the affected tooth.,Ayurveda / Natural dental remedy
Insomnia,"Difficulty sleeping, restlessness",Chamomile tea,"Steep chamomile flowers in hot water for 5 minutes, strain, and drink before bed.",Herbal remedy tradition
